City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,newman,37.3138,-121.0208,297.28,65,0,0.45,US,1692948581
83,hermanus,-34.4187,19.2345,288.6,77,3,12.93,ZA,1692948581
84,port elizabeth,-33.918,25.5701,291.31,48,0,8.23,ZA,1692948523
85,uturoa,-16.7333,-151.4333,299.11,75,98,8.08,PF,1692948522
86,suntar,62.1444,117.6319,296.76,36,10,2.0,RU,1692948582
87,cidreira,-30.1811,-50.2056,285.59,67,1,3.15,BR,1692948346
88,susanville,40.4163,-120.653,293.06,46,20,3.6,US,1692948583
89,shijiang,27.0819,110.7933,302.71,74,100,2.64,CN,1692948584
90,igarka,67.4667,86.5833,282.89,96,100,3.39,RU,1692948012
91,nogliki,51.8333,143.1667,288.67,83,98,2.76,RU,1692948584
92,aasiaat,68.7098,-52.8699,275.96,97,100,2.1,GL,1692948585
93,tyukhtet,56.5389,89.3011,300.91,44,9,3.85,RU,1692948585
94,stanley,54.868,-1.6985,285.77,89,0,0.51,GB,1692948521
95,kamaishi,39.2667,141.8833,301.75,78,0,5.36,JP,1692948397
96,saldanha,-33.0117,17.9442,286.18,80,0,10.81,ZA,1692948557
97,umm kaddadah,13.6017,26.6876,304.69,40,10,1.68,SD,1692948587
98,hammerfest,70.6634,23.6821,283.4,87,75,2.06,NO,1692948549
99,bubaque,11.2833,-15.8333,299.07,85,100,3.92,GW,1692948089
100,phillip island,-38.4835,145.231,289.82,87,69,7.81,AU,1692948588
101,karratha,-20.7377,116.8463,302.06,27,0,6.9,AU,1692948026
102,springfield,37.2153,-93.2982,300.48,92,0,2.24,US,1692948589
103,san patricio,28.017,-97.5169,301.06,69,16,2.44,US,1692948533
104,albany,42.6001,-73.9662,292.44,93,100,0.45,US,1692948482
105,lebu,-37.6167,-73.65,279.07,85,6,1.58,CL,1692948551
106,karkira,36.9292,6.5856,302.97,42,0,0.35,DZ,1692948590
107,alesund,62.4723,6.1549,289.23,84,0,5.66,NO,1692948530
108,mo i rana,66.3128,14.1428,287.41,92,20,1.03,NO,1692948499
109,smithers,54.7804,-127.1743,286.33,82,0,1.03,CA,1692948591
110,fort bragg,35.139,-79.006,298.23,73,20,3.6,US,1692948513
111,kunwi,36.2347,128.5728,304.76,48,19,3.45,KR,1692948592
112,bolivar,37.6145,-93.4105,300.9,88,41,3.46,US,1692948593
113,nar'yan-mar,67.6713,53.087,282.32,73,98,7.29,RU,1692948536
114,swift current,50.2834,-107.8014,285.6,87,20,3.6,CA,1692948081
115,misratah,32.3754,15.0925,300.12,71,0,2.75,LY,1692948594
116,mudukulattur,9.3417,78.5139,307.21,40,79,3.09,IN,1692948594
117,hithadhoo,-0.6,73.0833,301.2,72,3,3.71,MV,1692948484
118,kani keli,-12.9536,45.1033,301.74,73,6,2.07,YT,1692948594
119,greenville,35.6127,-77.3663,296.16,89,0,0.45,US,1692948595
120,invercargill,-46.4,168.35,282.05,91,6,1.32,NZ,1692948215
121,ust-nera,64.5667,143.2,285.66,53,99,2.08,RU,1692948499
122,hobyo,5.3505,48.5268,301.8,69,13,10.78,SO,1692948112
123,pacific grove,36.6177,-121.9166,291.72,89,100,2.57,US,1692948596
124,ebaye,8.7748,167.7392,301.16,78,75,2.06,MH,1692948596
125,alta,69.9689,23.2717,284.74,86,75,0.51,NO,1692948597
126,la passe,45.5549,-0.8967,294.28,83,100,4.96,FR,1692948325
127,bilibino,68.0546,166.4372,285.46,47,93,1.63,RU,1692948501
128,urangan,-25.3,152.9,293.17,73,2,6.34,AU,1692948101
129,barpali,21.2,83.5833,300.52,86,100,3.67,IN,1692948598
130,avarua,-21.2078,-159.775,297.18,83,40,3.09,CK,1692948521
131,alzamay,55.5562,98.6644,299.43,35,0,4.02,RU,1692948599
132,arar,30.9753,41.0381,309.16,11,0,3.09,SA,1692948600
133,chardara,41.2547,67.9692,305.41,22,0,5.53,KZ,1692948600
134,darwin,-12.4611,130.8418,307.14,29,0,4.12,AU,1692948601
135,souillac,-20.5167,57.5167,298.36,65,75,7.72,MU,1692947918
136,yanykurgan,43.915,67.2481,304.84,24,8,3.42,KZ,1692948602
137,san julian,21.0167,-102.1667,283.68,83,8,1.17,MX,1692948603
138,tagta,41.6504,59.9164,303.12,28,0,4.12,TM,1692948603
139,olyokminsk,60.3736,120.4264,295.36,34,3,1.58,RU,1692948538
140,constantia,44.1833,28.65,301.53,65,0,2.6,RO,1692948394
141,qaqortoq,60.7167,-46.0333,278.88,98,99,2.03,GL,1692948494
142,erenhot,43.6475,111.9767,297.11,25,72,1.08,CN,1692948607
143,necochea,-38.5473,-58.7368,275.88,66,0,4.55,AR,1692948213
144,alakurtti,66.9672,30.3491,286.12,71,99,0.74,RU,1692948608
145,pursat,12.3333,103.6667,303.75,58,100,1.76,KH,1692948609
146,amga,60.8953,131.9608,290.23,46,91,2.54,RU,1692948098
147,detva,48.5608,19.4195,296.06,67,87,1.64,SK,1692948610
148,north battleford,52.7834,-108.2847,287.2,88,100,2.57,CA,1692948610
149,saint-philippe,-21.3585,55.7679,299.92,81,42,6.44,RE,1692948541
150,prince rupert,54.3161,-130.3201,287.98,93,0,2.57,CA,1692948611
151,beira,-19.8436,34.8389,297.2,88,75,4.63,MZ,1692948612
152,itamaraca,-7.7478,-34.8256,297.18,82,21,3.88,BR,1692948359
153,easton,40.6884,-75.2207,293.66,91,100,0.45,US,1692948613
154,beitbridge,-22.2167,30.0,296.63,51,5,4.17,ZW,1692948613
155,tura,25.5198,90.2201,297.15,99,100,2.88,IN,1692948527
156,omis,43.4447,16.6886,303.25,43,0,0.98,HR,1692948614
157,canico,32.6333,-16.85,298.5,65,20,3.6,PT,1692948615
158,arkalyk,50.2486,66.9114,295.15,30,10,3.6,KZ,1692948615
159,fale old settlement,-9.3852,-171.2468,301.38,78,46,7.15,TK,1692948347
160,mawu,29.5923,107.3139,298.92,78,100,1.73,CN,1692948616
161,vicuna,-30.0319,-70.7081,280.0,53,97,0.24,CL,1692948617
162,dudinka,69.4058,86.1778,283.62,89,100,2.7,RU,1692948301
163,uzhur,55.3036,89.8339,302.75,30,21,3.28,RU,1692948618
164,sampit,-2.5333,112.95,305.17,53,57,3.38,ID,1692948618
165,shumikha,55.2261,63.2961,290.19,39,58,4.56,RU,1692948618
166,magadan,59.5667,150.8,284.56,92,100,8.84,RU,1692948619
167,banchory,57.0517,-2.4882,285.45,99,13,1.35,GB,1692948619
168,villa gonzalez ortega,22.5,-101.9167,286.86,84,8,3.23,MX,1692948619
169,tamanrasset,22.785,5.5228,301.1,20,40,2.06,DZ,1692948620
170,santiago de cao,-7.9589,-79.2392,293.22,88,100,3.09,PE,1692948621
171,jining,35.405,116.5814,303.68,47,89,1.98,CN,1692948023
172,college,64.8569,-147.8028,288.75,93,100,1.54,US,1692948515
173,st. john's,47.5649,-52.7093,287.58,97,100,2.06,CA,1692948563
174,chichimila,20.6167,-88.2167,296.08,98,93,1.05,MX,1692948622
175,kalaleh,37.3807,55.4916,305.93,38,20,2.06,IR,1692948622
176,shitanjing,39.2342,106.3439,289.02,71,96,4.52,CN,1692948623
177,arraial do cabo,-22.9661,-42.0278,294.8,95,56,5.57,BR,1692948623
178,lebanon,36.2081,-86.2911,299.38,93,0,0.0,US,1692948377
179,vavozh,56.7751,51.931,287.02,54,99,4.77,RU,1692948624
180,vilyuchinsk,52.9306,158.4028,288.3,98,100,1.85,RU,1692948596
181,nuuk,64.1835,-51.7216,279.49,100,100,2.06,GL,1692948624
182,kill devil hills,36.0307,-75.676,299.16,69,100,5.14,US,1692948625
183,berezovyy,51.6667,135.7,289.44,78,100,1.64,RU,1692948625
184,mhamid,29.82,-5.72,307.07,21,7,2.89,MA,1692948626
185,okha,53.5739,142.9478,289.19,59,17,6.5,RU,1692948476
186,ghat,24.9647,10.1728,304.43,23,23,0.45,LY,1692948096
187,port lincoln,-34.7333,135.8667,287.85,82,0,6.75,AU,1692948622
188,dembi dolo,8.5333,34.8,294.12,75,3,0.99,ET,1692948627
189,kandiaro,27.0601,68.2091,312.4,29,100,1.91,PK,1692948628
190,shihezi,44.3,86.0333,309.28,12,0,3.15,CN,1692948628
191,nelson bay,-32.7167,152.15,291.18,78,5,4.47,AU,1692948089
192,dalbandin,28.8947,64.4101,309.48,10,63,2.77,PK,1692948629
193,safotu,-13.4513,-172.4018,300.61,84,23,6.0,WS,1692948630
194,yuzhno-kurilsk,44.0306,145.8556,294.31,95,98,2.61,RU,1692948288
195,lincheng,19.9078,109.6858,303.72,71,100,3.06,CN,1692948630
196,maxixe,-23.8597,35.3472,299.46,59,0,4.35,MZ,1692948049
197,whitehorse,60.7161,-135.0538,288.58,52,40,5.14,CA,1692948561
198,buala,-8.145,159.5921,299.18,86,100,5.29,SB,1692948631
199,armacao de buzios,-22.7469,-41.8817,295.19,92,79,7.11,BR,1692948632
200,sumbe,-11.2061,13.8437,294.15,88,100,0.0,AO,1692948632
201,makokou,0.5738,12.8642,295.34,94,100,1.85,GA,1692948632
